"Date","Price","Open","High","Low","Change %"
"Jan 01, 2019","1,112.83","1,114.30","1,114.95","1,112.69","-0.13%"
"Jan 02, 2019","1,120.12","1,113.70","1,122.91","1,113.70","0.66%"
"Jan 03, 2019","1,125.89","1,120.12","1,131.05","1,119.20","0.52%"
"Jan 04, 2019","1,116.85","1,125.89","1,128.92","1,115.70","-0.80%"
"Jan 07, 2019","1,117.66","1,116.10","1,121.44","1,114.90","0.07%"
"Jan 08, 2019","1,122.83","1,117.66","1,126.90","1,116.80","0.46%"
"Jan 09, 2019","1,118.18","1,122.83","1,125.58","1,117.10","-0.41%"
"Jan 10, 2019","1,117.79","1,118.18","1,123.07","1,116.30","-0.03%"
"Jan 11, 2019","1,118.23","1,117.79","1,120.72","1,113.30","0.04%"
"Jan 14, 2019","1,121.80","1,118.53","1,124.92","1,118.30","0.32%"
"Jan 15, 2019","1,122.85","1,122.15","1,125.29","1,118.82","0.09%"
"Jan 16, 2019","1,120.78","1,122.50","1,125.22","1,118.78","-0.18%"
"Jan 17, 2019","1,122.70","1,120.78","1,125.35","1,119.81","0.17%"
"Jan 18, 2019","1,126.08","1,122.70","1,126.64","1,120.80","0.30%"
"Jan 21, 2019","1,134.40","1,126.36","1,134.70","1,124.20","0.74%"
"Jan 22, 2019","1,131.77","1,133.80","1,134.28","1,128.90","-0.23%"
"Jan 23, 2019","1,126.46","1,131.77","1,132.77","1,125.80","-0.47%"
"Jan 24, 2019","1,128.75","1,126.46","1,131.37","1,125.80","0.20%"
"Jan 25, 2019","1,118.78","1,128.75","1,129.82","1,117.30","-0.88%"
"Jan 28, 2019","1,118.87","1,118.51","1,120.73","1,115.40","0.01%"
"Jan 29, 2019","1,118.01","1,118.87","1,122.50","1,116.30","-0.08%"
"Jan 30, 2019","1,111.04","1,118.01","1,119.74","1,109.40","-0.62%"
"Jan 31, 2019","1,112.40","1,111.04","1,114.67","1,109.50","0.12%"
"Feb 01, 2019","1,119.40","1,112.40","1,120.31","1,111.60","0.63%"
"Feb 04, 2019","1,119.86","1,119.00","1,123.39","1,118.40","0.04%"
"Feb 05, 2019","1,117.27","1,119.86","1,122.41","1,116.80","-0.23%"
"Feb 06, 2019","1,121.80","1,117.57","1,122.39","1,117.20","0.41%"
"Feb 07, 2019","1,124.81","1,121.80","1,127.25","1,120.40","0.27%"
"Feb 08, 2019","1,124.50","1,124.81","1,127.92","1,121.30","-0.03%"
"Feb 11, 2019","1,125.99","1,124.05","1,127.78","1,122.76","0.13%"
"Feb 12, 2019","1,121.29","1,125.99","1,128.17","1,120.80","-0.42%"
"Feb 13, 2019","1,125.59","1,121.29","1,126.20","1,119.90","0.38%"
"Feb 14, 2019","1,126.40","1,125.59","1,129.58","1,123.80","0.07%"
"Feb 15, 2019","1,126.44","1,126.40","1,130.87","1,125.70","0.00%"
"Feb 18, 2019","1,126.40","1,126.44","1,127.73","1,123.30","-0.00%"
"Feb 19, 2019","1,122.92","1,126.10","1,129.52","1,122.50","-0.31%"
"Feb 20, 2019","1,123.22","1,122.92","1,125.24","1,120.80","0.03%"
"Feb 21, 2019","1,125.63","1,123.22","1,127.45","1,122.00","0.21%"
"Feb 22, 2019","1,122.99","1,125.63","1,127.70","1,121.20","-0.23%"
"Feb 25, 2019","1,116.06","1,123.31","1,124.31","1,115.50","-0.62%"
"Feb 26, 2019","1,115.61","1,116.06","1,120.22","1,114.64","-0.04%"
"Feb 27, 2019","1,118.22","1,115.61","1,120.91","1,114.90","0.23%"
"Feb 28, 2019","1,125.90","1,118.50","1,126.77","1,117.10","0.69%"
"Mar 01, 2019","1,127.67","1,125.60","1,128.22","1,124.10","0.16%"
"Mar 04, 2019","1,126.46","1,127.66","1,128.36","1,123.75","-0.11%"
"Mar 05, 2019","1,125.81","1,126.46","1,129.48","1,125.28","-0.06%"
