"Date","Price","Open","High","Low","Change %"
"Jun 10, 2020","4.9732","4.9000","4.9789","4.8380","1.51%"
"Jun 09, 2020","4.8992","4.8229","4.9359","4.8229","1.58%"
"Jun 08, 2020","4.8230","4.9619","4.9774","4.8175","-2.73%"
"Jun 05, 2020","4.9585","5.1186","5.1196","4.9328","-3.14%"
"Jun 04, 2020","5.1190","5.0624","5.1418","5.0244","1.12%"
"Jun 03, 2020","5.0622","5.2007","5.2109","5.0159","-2.68%"
"Jun 02, 2020","5.2014","5.3672","5.3700","5.1989","-3.02%"
"Jun 01, 2020","5.3633","5.3340","5.4196","5.3100","0.51%"
"May 29, 2020","5.3361","5.4049","5.4630","5.3190","-1.27%"
"May 28, 2020","5.4045","5.2743","5.4113","5.2743","2.49%"
"May 27, 2020","5.2733","5.3418","5.3610","5.2691","-1.34%"
"May 26, 2020","5.3450","5.4432","5.4432","5.3340","-1.86%"
"May 25, 2020","5.4461","5.4942","5.5301","5.4321","-1.58%"
"May 22, 2020","5.5338","5.5536","5.6256","5.5229","-0.30%"
"May 21, 2020","5.5507","5.6925","5.7062","5.5473","-2.49%"
"May 20, 2020","5.6925","5.7559","5.7572","5.6694","-1.07%"
"May 19, 2020","5.7540","5.7192","5.7687","5.6820","0.61%"
"May 18, 2020","5.7190","5.8565","5.8565","5.6942","-2.33%"
"May 15, 2020","5.8554","5.8110","5.8734","5.7590","0.76%"
"May 14, 2020","5.8115","5.9248","5.9718","5.8022","-1.25%"
"May 13, 2020","5.8852","5.8863","5.9440","5.8176","-0.01%"
"May 12, 2020","5.8856","5.8190","5.8949","5.7420","1.16%"
"May 11, 2020","5.8180","5.7825","5.8404","5.7651","1.50%"
"May 08, 2020","5.7319","5.8123","5.8285","5.7178","-1.69%"
"May 07, 2020","5.8307","5.7158","5.8770","5.7158","2.04%"
"May 06, 2020","5.7140","5.5750","5.7235","5.5750","2.43%"
"May 05, 2020","5.5783","5.5424","5.6044","5.4818","0.60%"
"May 04, 2020","5.5450","5.6141","5.6143","5.5187","1.08%"
"May 01, 2020","5.4856","5.4861","5.4861","5.4861","-0.00%"
"Apr 30, 2020","5.4858","5.3346","5.4875","5.3306","2.83%"
"Apr 29, 2020","5.3348","5.5019","5.5280","5.3340","-3.00%"
"Apr 28, 2020","5.4999","5.6085","5.6221","5.4710","-2.70%"
"Apr 27, 2020","5.6526","5.5427","5.7260","5.5345","1.11%"
"Apr 24, 2020","5.5907","5.5339","5.7484","5.5339","1.03%"
"Apr 23, 2020","5.5335","5.4557","5.5567","5.4008","1.38%"
"Apr 22, 2020","5.4580","5.3184","5.4644","5.3028","2.67%"
"Apr 21, 2020","5.3163","5.3172","5.3176","5.3166","-0.01%"
"Apr 20, 2020","5.3168","5.2864","5.3201","5.2642","1.54%"
"Apr 17, 2020","5.2363","5.2341","5.2761","5.2066","0.06%"
"Apr 16, 2020","5.2333","5.2336","5.2683","5.2007","-0.06%"
"Apr 15, 2020","5.2367","5.2228","5.2684","5.2157","1.45%"
"Apr 14, 2020","5.1621","5.1811","5.2123","5.1484","-0.72%"
"Apr 13, 2020","5.1994","5.1219","5.2088","5.1038","1.82%"
"Apr 10, 2020","5.1063","5.1068","5.1068","5.1068","-0.01%"
"Apr 09, 2020","5.1070","5.1260","5.1533","5.0487","-0.32%"
"Apr 08, 2020","5.1233","5.2237","5.2489","5.1112","-1.88%"
"Apr 07, 2020","5.2214","5.2817","5.2868","5.1819","-1.23%"
"Apr 06, 2020","5.2863","5.2998","5.3114","5.2235","-1.20%"
"Apr 03, 2020","5.3506","5.2566","5.3541","5.2557","1.85%"
"Apr 02, 2020","5.2533","5.2485","5.2850","5.2221","0.08%"
"Apr 01, 2020","5.2493","5.2252","5.2747","5.2210","0.86%"
"Mar 31, 2020","5.2046","5.1881","5.2150","5.1680","0.21%"
"Mar 30, 2020","5.1936","5.1180","5.1961","5.1128","1.84%"
"Mar 27, 2020","5.0997","5.0235","5.1283","5.0235","1.56%"
"Mar 26, 2020","5.0212","5.0349","5.0660","4.9733","-0.28%"
"Mar 25, 2020","5.0353","5.0995","5.1109","4.9722","-1.24%"
"Mar 24, 2020","5.0983","5.1431","5.1431","5.0412","-0.90%"
"Mar 23, 2020","5.1444","5.0628","5.1479","5.0050","1.61%"
"Mar 20, 2020","5.0627","5.0010","5.0662","4.9820","-0.65%"
