"Date","Price","Open","High","Low","Change %"
"Sep 04, 2019","0.9060","0.9112","0.9118","0.9058","-0.56%"
"Sep 05, 2019","0.9061","0.9063","0.9078","0.9021","0.01%"
"Sep 06, 2019","0.9065","0.9062","0.9075","0.9043","0.04%"
"Sep 09, 2019","0.9050","0.9071","0.9079","0.9035","-0.17%"
"Sep 10, 2019","0.9055","0.9053","0.9066","0.9041","0.06%"
"Sep 11, 2019","0.9082","0.9056","0.9104","0.9044","0.30%"
"Sep 12, 2019","0.9038","0.9082","0.9152","0.9019","-0.48%"
"Sep 13, 2019","0.9028","0.9039","0.9046","0.9001","-0.11%"
"Sep 16, 2019","0.9088","0.9020","0.9097","0.9014","0.66%"
"Sep 17, 2019","0.9030","0.9091","0.9100","0.9029","-0.64%"
"Sep 18, 2019","0.9065","0.9031","0.9080","0.9028","0.39%"
"Sep 19, 2019","0.9056","0.9067","0.9072","0.9030","-0.10%"
"Sep 20, 2019","0.9075","0.9057","0.9094","0.9034","0.21%"
"Sep 23, 2019","0.9095","0.9078","0.9119","0.9069","0.22%"
"Sep 24, 2019","0.9073","0.9096","0.9105","0.9070","-0.24%"
"Sep 25, 2019","0.9137","0.9075","0.9143","0.9071","0.71%"
"Sep 26, 2019","0.9155","0.9139","0.9167","0.9117","0.20%"
"Sep 27, 2019","0.9141","0.9157","0.9171","0.9125","-0.15%"
"Sep 30, 2019","0.9173","0.9140","0.9187","0.9133","0.35%"
"Oct 01, 2019","0.9146","0.9174","0.9193","0.9138","-0.29%"
"Oct 02, 2019","0.9124","0.9147","0.9172","0.9121","-0.24%"
"Oct 03, 2019","0.9117","0.9125","0.9140","0.9090","-0.08%"
"Oct 04, 2019","0.9107","0.9121","0.9127","0.9096","-0.11%"
"Oct 07, 2019","0.9114","0.9111","0.9123","0.9090","0.08%"
"Oct 08, 2019","0.9126","0.9115","0.9140","0.9094","0.13%"
"Oct 09, 2019","0.9113","0.9127","0.9131","0.9099","-0.14%"
"Oct 10, 2019","0.9084","0.9115","0.9115","0.9061","-0.32%"
"Oct 11, 2019","0.9055","0.9086","0.9090","0.9039","-0.32%"
"Oct 14, 2019","0.9066","0.9054","0.9081","0.9050","0.12%"
"Oct 15, 2019","0.9062","0.9068","0.9099","0.9053","-0.04%"
"Oct 16, 2019","0.9030","0.9064","0.9073","0.9020","-0.35%"
"Oct 17, 2019","0.8988","0.9032","0.9038","0.8976","-0.47%"
"Oct 18, 2019","0.8950","0.8989","0.8997","0.8950","-0.42%"
"Oct 21, 2019","0.8969","0.8974","0.8979","0.8945","0.21%"
"Oct 22, 2019","0.8988","0.8968","0.8995","0.8962","0.21%"
"Oct 23, 2019","0.8983","0.8989","0.9004","0.8976","-0.06%"
"Oct 24, 2019","0.9005","0.8984","0.9015","0.8958","0.24%"
"Oct 25, 2019","0.9024","0.9006","0.9032","0.8990","0.21%"
"Oct 28, 2019","0.9007","0.9024","0.9029","0.9003","-0.19%"
"Oct 29, 2019","0.8998","0.9010","0.9031","0.8993","-0.10%"
"Oct 30, 2019","0.8967","0.9000","0.9025","0.8967","-0.34%"
"Oct 31, 2019","0.8965","0.8967","0.8985","0.8947","-0.02%"
"Nov 01, 2019","0.8953","0.8967","0.8987","0.8950","-0.13%"
"Nov 04, 2019","0.8985","0.8959","0.8989","0.8948","0.36%"
"Nov 05, 2019","0.9029","0.8986","0.9039","0.8976","0.49%"
"Nov 06, 2019","0.9037","0.9029","0.9039","0.9014","0.09%"
"Nov 07, 2019","0.9048","0.9036","0.9061","0.9015","0.12%"
"Nov 08, 2019","0.9073","0.9050","0.9078","0.9045","0.28%"
"Nov 11, 2019","0.9063","0.9073","0.9078","0.9055","-0.11%"
