"Date","Price","Open","High","Low","Change %"
"Feb 07, 2017","31.043","30.865","31.119","30.854","0.56%"
"Feb 06, 2017","30.870","30.880","30.999","30.762","0.14%"
"Feb 03, 2017","30.826","31.104","31.125","30.776","-0.87%"
"Feb 02, 2017","31.095","31.308","31.355","30.973","-0.59%"
"Feb 01, 2017","31.279","31.342","31.380","31.060","0.36%"
"Jan 31, 2017","31.167","31.345","31.458","31.072","-0.62%"
"Jan 30, 2017","31.360","31.515","31.603","31.345","-0.62%"
"Jan 27, 2017","31.555","31.470","31.608","31.453","0.21%"
"Jan 26, 2017","31.490","31.322","31.538","31.172","0.65%"
"Jan 25, 2017","31.287","31.376","31.395","31.250","-0.32%"
"Jan 24, 2017","31.389","31.434","31.445","31.244","0.23%"
"Jan 23, 2017","31.316","31.463","31.540","31.305","-0.63%"
"Jan 20, 2017","31.515","31.626","31.637","31.445","-0.21%"
"Jan 19, 2017","31.580","31.686","31.750","31.530","-0.39%"
"Jan 18, 2017","31.705","31.319","31.727","31.318","0.96%"
"Jan 17, 2017","31.405","31.678","31.769","31.358","-0.95%"
"Jan 16, 2017","31.705","31.596","31.753","31.575","0.43%"
"Jan 13, 2017","31.570","31.616","31.650","31.450","-0.10%"
"Jan 12, 2017","31.601","31.749","31.941","31.393","-0.46%"
"Jan 11, 2017","31.746","31.965","32.020","31.697","-0.62%"
"Jan 10, 2017","31.944","32.019","32.100","31.855","-0.48%"
"Jan 09, 2017","32.098","32.072","32.216","32.000","0.27%"
"Jan 06, 2017","32.010","31.964","32.069","31.810","0.65%"
"Jan 05, 2017","31.804","32.256","32.258","31.733","-1.31%"
"Jan 04, 2017","32.225","32.268","32.379","32.109","-0.25%"
"Jan 03, 2017","32.305","32.315","32.466","32.170","-0.19%"
"Jan 02, 2017","32.365","32.480","32.480","32.285","-0.27%"
"Dec 30, 2016","32.454","32.269","32.466","32.106","0.49%"
"Dec 29, 2016","32.295","32.324","32.392","32.250","-0.40%"
"Dec 28, 2016","32.425","32.276","32.460","32.215","0.45%"
"Dec 27, 2016","32.281","32.256","32.348","32.140","0.19%"
"Dec 26, 2016","32.221","32.228","32.243","32.067","0.14%"
"Dec 23, 2016","32.175","32.237","32.241","32.044","0.02%"
"Dec 22, 2016","32.169","32.006","32.258","31.955","0.43%"
"Dec 21, 2016","32.030","32.027","32.128","31.951","-0.03%"
"Dec 20, 2016","32.040","31.995","32.142","31.930","0.19%"
"Dec 19, 2016","31.980","32.060","32.084","31.910","-0.14%"
"Dec 16, 2016","32.026","31.943","32.089","31.869","0.33%"
"Dec 15, 2016","31.920","31.906","32.040","31.810","-0.01%"
"Dec 14, 2016","31.922","31.818","31.922","31.645","0.50%"
"Dec 13, 2016","31.764","31.790","31.851","31.696","-0.13%"
"Dec 12, 2016","31.805","31.845","31.969","31.685","0.02%"
"Dec 09, 2016","31.800","31.761","31.875","31.691","0.21%"
"Dec 08, 2016","31.733","31.726","31.840","31.578","0.04%"
"Dec 07, 2016","31.719","31.954","32.012","31.718","-0.70%"
"Dec 06, 2016","31.942","31.998","32.034","31.845","-0.29%"
"Dec 05, 2016","32.035","31.926","32.133","31.895","0.53%"
"Dec 02, 2016","31.867","31.886","31.983","31.795","-0.07%"
"Dec 01, 2016","31.890","31.896","31.994","31.825","-0.03%"
"Nov 30, 2016","31.898","31.818","31.976","31.745","0.27%"
"Nov 29, 2016","31.812","31.811","31.928","31.700","0.05%"
"Nov 28, 2016","31.795","31.874","31.874","31.703","-0.16%"
"Nov 25, 2016","31.846","31.919","31.986","31.764","-0.23%"
"Nov 24, 2016","31.919","31.910","32.050","31.764","-0.01%"
"Nov 23, 2016","31.921","31.860","32.038","31.761","0.45%"
"Nov 22, 2016","31.779","31.925","31.938","31.720","-0.64%"
"Nov 21, 2016","31.985","32.067","32.105","31.862","-0.18%"
"Nov 18, 2016","32.043","31.875","32.177","31.822","0.26%"
"Nov 17, 2016","31.959","31.837","31.986","31.788","0.45%"
"Nov 16, 2016","31.815","31.878","32.007","31.710","-0.11%"
"Nov 15, 2016","31.849","31.953","31.991","31.733","-0.56%"
"Nov 14, 2016","32.028","31.856","32.089","31.834","0.32%"
"Nov 11, 2016","31.926","31.691","31.981","31.635","0.66%"
