,us,eu,china,korea,taiwan,date
412,46514,90254,89954,192644,207900,2016/5/28
413,46177,89317,89890,183110,210282,2016/5/29
414,47099,90033,89754,189057,205510,2016/5/30
415,49219,89563,89518,180666,207973,2016/5/31
416,46878,90124,89611,195123,206142,2016/6/1
417,47492,88546,89728,189999,204976,2016/6/2
418,47237,88705,89398,200927,207038,2016/6/3
419,46659,87971,89216,189556,210020,2016/6/4
420,46181,87651,89710,190904,207415,2016/6/5
421,48066,90273,89888,189727,210102,2016/6/6
422,47844,88980,89303,192565,206838,2016/6/7
423,47570,88670,88667,190625,208158,2016/6/8
424,47495,89830,87411,192222,208644,2016/6/9
425,46683,87291,85486,196287,204223,2016/6/10
426,46146,86485,83787,194738,196841,2016/6/11
427,46121,88061,83488,192465,201865,2016/6/12
428,47178,86230,82328,191741,201832,2016/6/13
429,48384,88589,80462,190342,196410,2016/6/14
430,46458,88017,80742,188666,200925,2016/6/15
431,46471,87046,78249,191631,207518,2016/6/16
432,45329,87149,78913,193395,192941,2016/6/17
433,45026,86789,77705,189653,188048,2016/6/18
434,44609,87282,78039,188690,193405,2016/6/19
435,45963,85464,76964,185546,188255,2016/6/20
436,45447,84058,76986,189009,184989,2016/6/21
437,45121,86059,75687,190819,190952,2016/6/22
438,45077,86656,74936,186238,190033,2016/6/23
439,44710,87195,73769,185580,184066,2016/6/24
440,42764,84340,73419,183339,186999,2016/6/25
441,43654,84610,68710,183602,185697,2016/6/26
442,45288,86249,71128,189803,181938,2016/6/27
443,45035,83842,70176,182866,179515,2016/6/28
444,44124,85567,71299,182277,181583,2016/6/29
445,42812,82968,70843,178359,181568,2016/6/30
446,41166,82719,69991,181395,180247,2016/7/1
447,41340,81638,70139,180044,176183,2016/7/2
448,40769,81163,70052,179449,174964,2016/7/3
449,40298,81182,69729,181139,176328,2016/7/4
450,41940,82896,69162,169727,174445,2016/7/5
451,41312,81145,69682,180081,175803,2016/7/6
452,41605,81363,70082,172947,176125,2016/7/7
453,41649,82018,69925,175073,172356,2016/7/8
454,39966,80558,70033,172294,171265,2016/7/9
455,40575,80940,70062,172384,176119,2016/7/10
456,43365,81755,69762,175413,171530,2016/7/11
457,42647,80003,70092,177408,175220,2016/7/12
458,43520,83229,70057,173615,171443,2016/7/13
459,41770,81044,70721,173212,172765,2016/7/14
460,40723,81617,70118,172346,171400,2016/7/15
461,41258,81754,70641,176463,171967,2016/7/16
462,41217,83315,70779,172938,169353,2016/7/17
463,45215,81443,71227,174248,174915,2016/7/18
464,46900,86751,71549,176002,181196,2016/7/19
465,47222,87909,,,,2016/7/20
466,43811,83562,82626,171277,189854,2016/7/21
467,42641,83183,74102,172146,176147,2016/7/22
468,40648,81806,70368,170507,173385,2016/7/23
469,40542,82198,69718,187206,172799,2016/7/24
470,41065,81313,66930,176478,172371,2016/7/25
471,41560,81295,64781,171637,174059,2016/7/26
472,45778,79856,67075,169649,170878,2016/7/27
473,41050,79891,66094,172749,171278,2016/7/28
474,39976,79865,60120,166620,169639,2016/7/29
475,39295,77507,59875,169706,168973,2016/7/30
476,40128,79881,60381,145478,168724,2016/7/31
477,39979,78591,,147050,167853,2016/8/1
478,40174,77255,,155304,169640,2016/8/2
479,39591,76656,,150976,171245,2016/8/3
480,39918,75842,118530,148739,164433,2016/8/4
481,39596,75248,116326,148935,162760,2016/8/5
482,39835,74569,126361,150551,159598,2016/8/6
483,38410,75148,120160,147569,159086,2016/8/7
484,39679,74960,128646,147198,154913,2016/8/8
485,44330,76411,125771,149142,153354,2016/8/9
486,39074,74537,118766,148621,160219,2016/8/10
487,38897,73247,118750,146741,158572,2016/8/11
488,38311,73216,109271,146598,158110,2016/8/12
489,37112,72298,99673,142861,155190,2016/8/13
490,37101,71854,100220,145156,151237,2016/8/14
491,38360,70277,105680,141345,149503,2016/8/15
492,39005,72110,110228,141630,144030,2016/8/16
493,39132,71204,92550,142915,151077,2016/8/17
494,38519,71340,110776,146879,149446,2016/8/18
495,37230,70375,104366,140745,150356,2016/8/19
496,36321,69462,99450,138221,145064,2016/8/20
497,36736,71845,100997,143122,142409,2016/8/21
498,36555,69661,96829,141674,143363,2016/8/22
499,35727,71256,99802,140958,144016,2016/8/23
500,37564,,100114,141518,143901,2016/8/24
501,36926,69193,98847,137572,145398,2016/8/25
502,37385,69737,97029,141184,143926,2016/8/26
503,35017,70237,92879,133488,143262,2016/8/27
504,35489,70018,92274,140481,142831,2016/8/28
505,36940,66787,92836,140174,140160,2016/8/29
506,39704,72669,91800,144433,140024,2016/8/30
507,38929,70635,84971,136145,156627,2016/8/31
508,37176,67720,84289,142003,146498,2016/9/1
509,35986,65975,95533,143847,137664,2016/9/2
510,35034,62829,88558,169454,141178,2016/9/3
511,34183,64250,88326,159166,136754,2016/9/4
512,34331,62221,89581,157632,136600,2016/9/5
513,35950,63398,90768,144666,132022,2016/9/6
514,35376,63783,92317,145900,127061,2016/9/7
515,35655,64379,89969,140103,120529,2016/9/8
516,35110,65639,91738,152045,124709,2016/9/9
517,33991,64404,92882,138567,124670,2016/9/10
518,34211,65054,91110,140480,128064,2016/9/11
519,35600,64912,90679,141407,119710,2016/9/12
520,36374,66056,89891,137023,117277,2016/9/13
521,35850,67801,91968,134907,124073,2016/9/14
522,35951,66788,92049,146962,119587,2016/9/15
523,34899,67891,92482,141302,121932,2016/9/16
524,34719,69299,92076,136693,122728,2016/9/17
525,34583,68034,91798,136942,121076,2016/9/18
526,35717,68155,98174,151873,124904,2016/9/19
527,36146,70048,102493,141136,126357,2016/9/20
528,36716,70845,98504,146930,143788,2016/9/21
529,36040,69040,98272,134630,122172,2016/9/22
530,34584,68071,97071,135273,126519,2016/9/23
531,34326,67267,98817,132681,118626,2016/9/24
