,us,eu,china,korea,taiwan,date
343,39427.0,85114.0,81385.0,178375.0,168765.0,2016/3/20
344,39976.0,85201.0,81257.0,172917.0,170647.0,2016/3/21
345,36435.0,85747.0,81679.0,178606.0,174242.0,2016/3/22
346,38440.5,85249.0,81505.66666666667,176672.0,174109.69565217392,2016/3/23
347,40446.0,85115.0,81332.33333333333,174738.0,173977.39130434784,2016/3/24
348,39976.0,86039.0,81159.0,172804.0,173845.08695652173,2016/3/25
349,39901.0,84286.0,81545.0,181464.0,173712.78260869565,2016/3/26
350,40005.0,85639.0,81316.0,179004.0,173580.47826086957,2016/3/27
351,40882.0,86679.0,80858.0,171901.0,173448.1739130435,2016/3/28
352,41046.0,85715.0,81216.0,183302.0,173315.86956521738,2016/3/29
353,40536.0,84858.0,81502.0,185392.0,173183.5652173913,2016/3/30
354,40267.0,84179.0,82210.0,160612.0,173051.26086956522,2016/3/31
355,39922.0,82937.0,80997.0,173374.0,172918.95652173914,2016/4/1
356,39859.0,84174.0,81146.0,172760.0,172786.65217391305,2016/4/2
357,40380.0,83731.0,81361.0,176349.0,172654.34782608695,2016/4/3
358,40997.0,83855.0,81689.0,167801.0,172522.04347826086,2016/4/4
359,41069.0,84199.0,82016.0,185768.0,172389.73913043478,2016/4/5
360,40842.0,84629.0,82228.0,174190.0,172257.4347826087,2016/4/6
361,40169.0,85222.0,81464.0,174341.0,172125.13043478262,2016/4/7
362,40615.0,85057.0,81646.0,175749.0,171992.8260869565,2016/4/8
363,39831.0,83155.0,81453.0,181921.0,171860.52173913043,2016/4/9
364,40122.0,84411.0,81180.0,174323.0,171728.21739130435,2016/4/10
365,40941.0,84254.0,82043.0,170410.0,171595.91304347827,2016/4/11
366,42493.0,84014.0,81650.0,177517.0,171463.60869565216,2016/4/12
367,42204.0,84895.0,81835.0,178446.0,171331.30434782608,2016/4/13
368,41680.0,87305.0,81798.0,173149.0,171199.0,2016/4/14
369,41004.0,84932.0,82032.0,179471.0,170761.0,2016/4/15
370,40591.0,85095.0,81760.0,177623.0,172532.0,2016/4/16
371,40139.0,84612.0,81595.0,177137.0,177097.0,2016/4/17
372,43198.0,85004.0,81670.0,178198.0,171298.0,2016/4/18
373,43408.0,83457.0,82303.0,178417.0,170832.0,2016/4/19
374,43012.0,87629.0,81194.0,179354.0,173834.0,2016/4/20
375,42076.0,85864.0,81954.0,179682.0,172171.0,2016/4/21
376,41818.0,87153.0,81808.0,181191.0,170106.0,2016/4/22
377,41118.0,86019.0,81959.0,178068.0,171452.0,2016/4/23
378,41561.0,86722.0,81447.0,179672.0,170611.0,2016/4/24
379,42525.0,85073.0,81473.0,178822.0,172324.0,2016/4/25
380,43314.0,83935.0,82135.0,180621.0,200822.0,2016/4/26
381,43143.0,85425.0,82127.0,176699.0,184841.0,2016/4/27
382,42870.0,87379.0,82503.0,180742.0,182766.0,2016/4/28
383,42075.0,84251.0,83360.0,179231.0,187408.0,2016/4/29
384,41981.0,84342.0,83046.0,175386.0,179329.0,2016/4/30
385,41821.0,84507.0,82949.0,182932.0,181551.0,2016/5/1
386,43374.0,85483.0,83514.0,174688.0,180560.0,2016/5/2
387,44126.0,84923.0,84262.0,174756.0,180829.0,2016/5/3
388,45248.0,86190.0,86133.0,178229.0,183700.0,2016/5/4
389,43773.0,87143.0,86464.0,182792.0,185915.0,2016/5/5
390,44423.0,86230.0,89195.0,178881.0,182317.0,2016/5/6
391,43830.0,86458.0,89632.0,177506.0,189670.0,2016/5/7
392,43640.0,86934.0,93130.0,179969.0,194463.0,2016/5/8
393,45623.0,87864.0,92861.0,185607.0,190235.0,2016/5/9
394,47299.0,88145.0,94476.0,179746.0,199051.0,2016/5/10
395,47928.0,91658.0,95505.0,178692.0,201967.0,2016/5/11
396,47795.0,89007.0,90353.0,179077.0,197693.0,2016/5/12
397,46030.0,87309.0,94122.0,182967.0,191581.0,2016/5/13
398,45409.0,87793.0,93437.0,177359.0,196409.0,2016/5/14
399,45708.0,88176.0,92088.0,184551.0,194122.0,2016/5/15
400,47080.0,89890.0,91516.0,178469.0,203379.0,2016/5/16
401,48474.0,90845.0,90999.0,180947.0,197665.0,2016/5/17
402,48789.0,88889.0,90849.25,181053.0,198443.75,2016/5/18
403,46967.0,90222.0,90699.5,181159.0,199222.5,2016/5/19
404,46303.0,89804.0,90549.75,181265.0,200001.25,2016/5/20
405,46035.0,89213.0,90400.0,181371.0,200780.0,2016/5/21
406,46425.0,90574.0,91110.0,189066.0,199651.0,2016/5/22
407,48024.0,90143.0,90104.0,187882.0,200790.0,2016/5/23
408,48691.0,92107.0,90055.0,192302.0,204321.0,2016/5/24
409,48200.0,90935.0,89120.0,185358.0,206497.0,2016/5/25
410,47692.0,90357.0,91082.0,187452.0,212358.0,2016/5/26
411,47998.0,90880.0,90222.0,188912.0,207075.0,2016/5/27
412,46514.0,90254.0,89954.0,192644.0,207900.0,2016/5/28
413,46177.0,89317.0,89890.0,183110.0,210282.0,2016/5/29
414,47099.0,90033.0,89754.0,189057.0,205510.0,2016/5/30
415,49219.0,89563.0,89518.0,180666.0,207973.0,2016/5/31
416,46878.0,90124.0,89611.0,195123.0,206142.0,2016/6/1
417,47492.0,88546.0,89728.0,189999.0,204976.0,2016/6/2
418,47237.0,88705.0,89398.0,200927.0,207038.0,2016/6/3
419,46659.0,87971.0,89216.0,189556.0,210020.0,2016/6/4
420,46181.0,87651.0,89710.0,190904.0,207415.0,2016/6/5
421,48066.0,90273.0,89888.0,189727.0,210102.0,2016/6/6
422,47844.0,88980.0,89303.0,192565.0,206838.0,2016/6/7
423,47570.0,88670.0,88667.0,190625.0,208158.0,2016/6/8
424,47495.0,89830.0,87411.0,192222.0,208644.0,2016/6/9
425,46683.0,87291.0,85486.0,196287.0,204223.0,2016/6/10
426,46146.0,86485.0,83787.0,194738.0,196841.0,2016/6/11
427,46121.0,88061.0,83488.0,192465.0,201865.0,2016/6/12
428,47178.0,86230.0,82328.0,191741.0,201832.0,2016/6/13
429,48384.0,88589.0,80462.0,190342.0,196410.0,2016/6/14
430,46458.0,88017.0,80742.0,188666.0,200925.0,2016/6/15
431,46471.0,87046.0,78249.0,191631.0,207518.0,2016/6/16
432,45329.0,87149.0,78913.0,193395.0,192941.0,2016/6/17
433,45026.0,86789.0,77705.0,189653.0,188048.0,2016/6/18
434,44609.0,87282.0,78039.0,188690.0,193405.0,2016/6/19
435,45963.0,85464.0,76964.0,185546.0,188255.0,2016/6/20
436,45447.0,84058.0,76986.0,189009.0,184989.0,2016/6/21
437,45121.0,86059.0,75687.0,190819.0,190952.0,2016/6/22
438,45077.0,86656.0,74936.0,186238.0,190033.0,2016/6/23
439,44710.0,87195.0,73769.0,185580.0,184066.0,2016/6/24
440,42764.0,84340.0,73419.0,183339.0,186999.0,2016/6/25
441,43654.0,84610.0,68710.0,183602.0,185697.0,2016/6/26
442,45288.0,86249.0,71128.0,189803.0,181938.0,2016/6/27
443,45035.0,83842.0,70176.0,182866.0,179515.0,2016/6/28
444,44124.0,85567.0,71299.0,182277.0,181583.0,2016/6/29
445,42812.0,82968.0,70843.0,178359.0,181568.0,2016/6/30
446,41166.0,82719.0,69991.0,181395.0,180247.0,2016/7/1
447,41340.0,81638.0,70139.0,180044.0,176183.0,2016/7/2
448,40769.0,81163.0,70052.0,179449.0,174964.0,2016/7/3
449,40298.0,81182.0,69729.0,181139.0,176328.0,2016/7/4
450,41940.0,82896.0,69162.0,169727.0,174445.0,2016/7/5
451,41312.0,81145.0,69682.0,180081.0,175803.0,2016/7/6
452,41605.0,81363.0,70082.0,172947.0,176125.0,2016/7/7
453,41649.0,82018.0,69925.0,175073.0,172356.0,2016/7/8
454,39966.0,80558.0,70033.0,172294.0,171265.0,2016/7/9
455,40575.0,80940.0,70062.0,172384.0,176119.0,2016/7/10
456,43365.0,81755.0,69762.0,175413.0,171530.0,2016/7/11
457,42647.0,80003.0,70092.0,177408.0,175220.0,2016/7/12
458,43520.0,83229.0,70057.0,173615.0,171443.0,2016/7/13
459,41770.0,81044.0,70721.0,173212.0,172765.0,2016/7/14
460,40723.0,81617.0,70118.0,172346.0,171400.0,2016/7/15
461,41258.0,81754.0,70641.0,176463.0,171967.0,2016/7/16
462,41217.0,83315.0,70779.0,172938.0,169353.0,2016/7/17
463,45215.0,81443.0,71227.0,174248.0,174915.0,2016/7/18
464,46900.0,86751.0,71549.0,176002.0,181196.0,2016/7/19
465,47222.0,87909.0,77087.5,173639.5,185525.0,2016/7/20
466,43811.0,83562.0,82626.0,171277.0,189854.0,2016/7/21
467,42641.0,83183.0,74102.0,172146.0,176147.0,2016/7/22
468,40648.0,81806.0,70368.0,170507.0,173385.0,2016/7/23
469,40542.0,82198.0,69718.0,187206.0,172799.0,2016/7/24
470,41065.0,81313.0,66930.0,176478.0,172371.0,2016/7/25
471,41560.0,81295.0,64781.0,171637.0,174059.0,2016/7/26
472,45778.0,79856.0,67075.0,169649.0,170878.0,2016/7/27
473,41050.0,79891.0,66094.0,172749.0,171278.0,2016/7/28
474,39976.0,79865.0,60120.0,166620.0,169639.0,2016/7/29
475,39295.0,77507.0,59875.0,169706.0,168973.0,2016/7/30
476,40128.0,79881.0,60381.0,145478.0,168724.0,2016/7/31
477,39979.0,78591.0,74918.25,147050.0,167853.0,2016/8/1
478,40174.0,77255.0,89455.5,155304.0,169640.0,2016/8/2
479,39591.0,76656.0,103992.75,150976.0,171245.0,2016/8/3
480,39918.0,75842.0,118530.0,148739.0,164433.0,2016/8/4
481,39596.0,75248.0,116326.0,148935.0,162760.0,2016/8/5
482,39835.0,74569.0,126361.0,150551.0,159598.0,2016/8/6
483,38410.0,75148.0,120160.0,147569.0,159086.0,2016/8/7
484,39679.0,74960.0,128646.0,147198.0,154913.0,2016/8/8
485,44330.0,76411.0,125771.0,149142.0,153354.0,2016/8/9
486,39074.0,74537.0,118766.0,148621.0,160219.0,2016/8/10
