Epochs,loss us,accuracy us,loss us,accuracy us,loss eu,accuracy eu,loss eu,accuracy eu,loss china,accuracy china,loss china,accuracy china,loss korea,accuracy korea,loss korea,accuracy korea,loss taiwan,accuracy taiwan,loss taiwan,accuracy taiwan
20,0.6927847862243652,0.5044372081756592,0.7346630096435547,0.0714285746216774,0.6813116669654846,0.5600186586380005,0.644871175289154,0.9285714030265808,0.6427160501480103,0.6109294891357422,0.7210655212402344,0.6428571343421936,0.5535775423049927,0.700140118598938,0.44526058435440063,0.7857142686843872,0.4782458543777466,0.7557216286659241,2.6686108112335205,0.4285714328289032
21,0.6930747628211975,0.506772518157959,0.7388554811477661,0.0714285746216774,0.6794168949127197,0.5730966925621033,0.6806759834289551,0.2857142984867096,0.6435497403144836,0.6202709078788757,0.722507894039154,0.6428571343421936,0.5534684658050537,0.7010742425918579,0.4426383972167969,0.7857142686843872,0.46699437499046326,0.7613264918327332,2.754392385482788,0.4285714328289032
22,0.6928298473358154,0.5133115649223328,0.7515519261360168,0.0714285746216774,0.6804744601249695,0.5642223358154297,0.6124030947685242,0.8571428656578064,0.6408724188804626,0.6249415874481201,0.7188740372657776,0.6428571343421936,0.5489932298660278,0.7057449817657471,0.44083958864212036,0.7857142686843872,0.4639951288700104,0.7678654789924622,2.7362606525421143,0.4285714328289032
23,0.6924723982810974,0.5133115649223328,0.7362133264541626,0.0714285746216774,0.6787934899330139,0.5712283849716187,0.6898215413093567,0.2857142984867096,0.6401637196540833,0.6212050318717957,0.7193493843078613,0.6428571343421936,0.5494332313537598,0.6992059946060181,0.4352486729621887,0.7857142686843872,0.45950236916542053,0.7664642930030823,2.8572089672088623,0.4285714328289032
24,0.693027913570404,0.5044372081756592,0.7625748515129089,0.0714285746216774,0.6819568276405334,0.5656235218048096,0.6592335104942322,0.8571428656578064,0.6387604475021362,0.6132648587226868,0.7245461344718933,0.6428571343421936,0.5395419001579285,0.7052779197692871,0.4273221790790558,0.7857142686843872,0.45107388496398926,0.7678654789924622,2.9600143432617188,0.3571428656578064
25,0.6916418075561523,0.5147127509117126,0.7438647150993347,0.0714285746216774,0.6862327456474304,0.5460065603256226,0.6342545747756958,0.8571428656578064,0.6368536353111267,0.6249415874481201,0.7268674969673157,0.6428571343421936,0.5379906892776489,0.7118169069290161,0.42220401763916016,0.7857142686843872,0.44012144207954407,0.7804763913154602,3.065462827682495,0.3571428656578064
26,0.6918039321899414,0.5203176140785217,0.7277428507804871,0.0714285746216774,0.682750403881073,0.5801027417182922,0.6871833801269531,0.2857142984867096,0.6337968707084656,0.6193367838859558,0.7344967722892761,0.5714285969734192,0.5320121049880981,0.7118169069290161,0.4192964732646942,0.7857142686843872,0.44522157311439514,0.7725362181663513,3.232900857925415,0.3571428656578064
27,0.6927928328514099,0.5119103193283081,0.7782530188560486,0.0714285746216774,0.679995059967041,0.5600186586380005,0.6543557047843933,0.9285714030265808,0.6343096494674683,0.6226062774658203,0.7369381189346313,0.5714285969734192,0.5323153734207153,0.7048108577728271,0.4158579409122467,0.7857142686843872,0.4325220286846161,0.7814105749130249,3.1821773052215576,0.3571428656578064
28,0.69171142578125,0.5235871076583862,0.7565932869911194,0.0714285746216774,0.6778532862663269,0.5787015557289124,0.6603540778160095,0.8571428656578064,0.6317492723464966,0.6291452646255493,0.7323364019393921,0.5714285969734192,0.514906644821167,0.7253620028495789,0.4120025336742401,0.7857142686843872,0.42431068420410156,0.7958897948265076,3.345212697982788,0.3571428656578064
29,0.6916411519050598,0.5254554152488708,0.7170283198356628,0.0714285746216774,0.6777297854423523,0.5875759124755859,0.6585062742233276,0.8571428656578064,0.6287375688552856,0.6286782026290894,0.735616147518158,0.5714285969734192,0.5183706879615784,0.7290985584259033,0.4096105098724365,0.7857142686843872,0.4178787171840668,0.7986922264099121,3.590958833694458,0.2857142984867096
